rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Salmonella_5;size=5	1	1363	77	1363	100	76.9156	39.6	58.4
Enterococcus_4;size=4	1	1381	129	1381	100	128.757	39.7	59.4
Staphylococcus_4;size=4	1	1372	183	1372	100	182.486	39.5	32.2
Bacillus_4_5;size=3	1	1370	65	1370	100	64.9117	39.6	11.2
Bacillus_7;size=2	1	1370	42	1370	100	41.9701	39.5	10.7
Escherichia_5;size=2	1	1363	24	1363	100	23.9905	39.7	18.3
Listeria_2_5;size=2	1	1370	97	1370	100	96.9197	39.5	14.9
Listeria_6;size=2	1	1370	59	1370	100	58.919	39.3	15
Bacillus_1;size=1	1	1370	23	1370	100	22.946	39.5	11.4
Bacillus_3;size=1	1	1370	28	1370	100	27.9737	39.7	13.8
Bacillus_8;size=1	1	1370	39	1370	100	38.9438	39.6	19
Bacillus_9;size=1	1	1370	29	1370	100	28.9423	39.9	10.1
Escherichia_1;size=1	1	1363	8	1363	100	7.9912	39.6	55.5
Escherichia_2;size=1	1	1363	16	1363	100	15.989	39.8	15.9
Escherichia_4;size=1	1	1363	11	1363	100	10.9978	39.9	53.6
Escherichia_6;size=1	1	1363	12	1363	100	11.9839	39.2	49.9
Escherichia_7;size=1	1	1363	11	1363	100	10.9971	39.6	42
Lactobacillus_1;size=1	1	1406	34	1406	100	33.7553	39.8	33.5
Lactobacillus_2;size=1	1	1396	28	1396	100	27.9728	39.4	22.5
Lactobacillus_3;size=1	1	1396	45	1396	100	44.9341	39.7	19
Lactobacillus_4;size=1	1	1396	46	1396	100	45.4986	39.6	29.5
Lactobacillus_5;size=1	1	1396	56	1396	100	55.8883	39.8	37.2
Listeria_1;size=1	1	1370	44	1370	100	43.873	39.9	15.3
Pseudomonas_1_2_3_4;size=1	1	1357	20	1357	100	19.9248	39.7	60
Salmonella_7;size=1	1	1363	18	1363	100	17.9655	39.3	49.8
Staphylococcus_2;size=1	1	1372	45	1372	100	44.9359	39.6	39
Staphylococcus_3;size=1	1	1372	39	1372	100	38.941	39.7	24.4
