rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Salmonella_5;size=5	1	1363	700	1363	100	696.131	43.7	57.8
Enterococcus_4;size=4	1	1381	1532	1381	100	1523.61	43.9	59.2
Staphylococcus_4;size=4	1	1372	1866	1372	100	1855.68	44.1	32.8
Bacillus_4_5;size=3	1	1370	741	1370	100	738.076	43	11.7
Bacillus_7;size=2	1	1370	413	1370	100	411.058	43.6	12.2
Escherichia_5;size=2	1	1363	216	1363	100	215.01	43.7	18.4
Listeria_2_5;size=2	1	1370	1095	1370	100	1090.18	43.1	14.4
Listeria_6;size=2	1	1370	770	1370	100	764.48	43.4	15.9
Bacillus_1;size=1	1	1370	200	1370	100	199.205	42.9	12
Bacillus_3;size=1	1	1370	199	1370	100	198.312	42.8	13.4
Bacillus_8;size=1	1	1370	459	1370	100	456.058	43	23.6
Bacillus_9;size=1	1	1370	384	1370	100	381.455	43.3	9.66
Escherichia_1;size=1	1	1363	160	1363	100	159.004	43.5	46.6
Escherichia_2;size=1	1	1363	90	1363	100	89.741	44.6	17.2
Escherichia_4;size=1	1	1363	139	1363	100	138.263	43.7	49.7
Escherichia_6;size=1	1	1363	115	1363	100	114.117	43.5	54.6
Escherichia_7;size=1	1	1363	123	1363	100	121.045	44.1	46.1
Lactobacillus_1;size=1	1	1406	306	1406	100	302.554	41.8	37.5
Lactobacillus_2;size=1	1	1396	316	1396	100	313.574	42.1	25.1
Lactobacillus_3;size=1	1	1396	516	1396	100	512.09	41.9	21.9
Lactobacillus_4;size=1	1	1396	469	1396	100	464.989	42.1	33.8
Lactobacillus_5;size=1	1	1396	473	1396	100	470.007	42.1	39.9
Listeria_1;size=1	1	1370	460	1370	100	456.691	43.4	15.1
Pseudomonas_1_2_3_4;size=1	1	1357	169	1357	100	167.136	43.7	59.9
Salmonella_7;size=1	1	1363	160	1363	100	158.741	43.5	51.8
Staphylococcus_2;size=1	1	1372	442	1372	100	439.214	44	41
Staphylococcus_3;size=1	1	1372	425	1372	100	422.031	44.2	29.1
