rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Salmonella_5;size=5	1	1363	16195	1363	100	16101.8	43.7	58.4
Enterococcus_4;size=4	1	1381	35720	1381	100	35532	43.9	59
Staphylococcus_4;size=4	1	1372	43773	1372	100	43572.2	44.1	33
Bacillus_4_5;size=3	1	1370	15771	1370	100	15693.9	43.1	11.7
Bacillus_7;size=2	1	1370	9737	1370	100	9688.95	42.9	12.1
Escherichia_5;size=2	1	1363	4759	1363	100	4737.33	43.9	18.2
Listeria_2_5;size=2	1	1370	24891	1370	100	24784.2	43.3	14.5
Listeria_6;size=2	1	1370	17415	1370	100	17331.8	43.4	15.9
Bacillus_1;size=1	1	1370	5250	1370	100	5217.16	42.9	11.7
Bacillus_3;size=1	1	1370	5268	1370	100	5234.85	42.8	13.6
Bacillus_8;size=1	1	1370	10283	1370	100	10230	42.9	23.2
Bacillus_9;size=1	1	1370	9082	1370	100	9035.78	43	9.47
Escherichia_1;size=1	1	1363	3218	1363	100	3196.81	43.8	47
Escherichia_2;size=1	1	1363	2405	1363	100	2391.12	43.6	17.4
Escherichia_4;size=1	1	1363	2577	1363	100	2557.22	43.7	50.2
Escherichia_6;size=1	1	1363	2569	1363	100	2541.5	43.7	54.8
Escherichia_7;size=1	1	1363	3054	1363	100	3026.04	43.8	47.7
Lactobacillus_1;size=1	1	1406	7621	1406	100	7540.93	42.2	40.1
Lactobacillus_2;size=1	1	1396	7745	1396	100	7681.79	42.1	23.8
Lactobacillus_3;size=1	1	1396	12306	1396	100	12214.2	42.1	22.1
Lactobacillus_4;size=1	1	1396	10996	1396	100	10899.6	42.1	32.7
Lactobacillus_5;size=1	1	1396	10854	1396	100	10774.4	42.1	39.4
Listeria_1;size=1	1	1370	10558	1370	100	10480.5	43.3	15.1
Pseudomonas_1_2_3_4;size=1	1	1357	4339	1357	100	4311.04	43.6	59.9
Salmonella_7;size=1	1	1363	3265	1363	100	3239.35	43.7	54.4
Staphylococcus_2;size=1	1	1372	10342	1372	100	10298.7	44.1	41.9
Staphylococcus_3;size=1	1	1372	10082	1372	100	10014.4	44	28.9
