rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Salmonella_5;size=5	1	1363	519	1363	100	516.725	44	58
Enterococcus_4;size=4	1	1381	1136	1381	100	1129.67	44	59.2
Staphylococcus_4;size=4	1	1372	1420	1372	100	1413.61	44.1	33.1
Bacillus_4_5;size=3	1	1370	500	1370	100	498.16	43.1	11.5
Bacillus_7;size=2	1	1370	326	1370	100	324.187	43.2	11.6
Escherichia_5;size=2	1	1363	160	1363	100	159.393	43.7	17.8
Listeria_2_5;size=2	1	1370	798	1370	100	794.516	43.3	14.5
Listeria_6;size=2	1	1370	605	1370	100	602.06	43.4	15.6
Bacillus_1;size=1	1	1370	138	1370	100	137.535	43.1	11.2
Bacillus_3;size=1	1	1370	144	1370	100	143.534	42.7	13.6
Bacillus_8;size=1	1	1370	335	1370	100	332.432	43	23.3
Bacillus_9;size=1	1	1370	290	1370	100	288.775	43.2	9.96
Escherichia_1;size=1	1	1363	106	1363	100	105.417	43.8	46.5
Escherichia_2;size=1	1	1363	67	1363	100	66.7902	44	17.7
Escherichia_4;size=1	1	1363	99	1363	100	98.6361	43.7	51.3
Escherichia_6;size=1	1	1363	66	1363	100	65.5752	43.3	56.5
Escherichia_7;size=1	1	1363	95	1363	100	94.529	44.2	49.4
Lactobacillus_1;size=1	1	1406	231	1406	100	228.657	41.9	37.6
Lactobacillus_2;size=1	1	1396	220	1396	100	217.648	42.1	23.7
Lactobacillus_3;size=1	1	1396	389	1396	100	385.393	41.9	20.8
Lactobacillus_4;size=1	1	1396	338	1396	100	334.991	42.3	32.9
Lactobacillus_5;size=1	1	1396	323	1396	100	321.103	42.2	38.9
Listeria_1;size=1	1	1370	313	1370	100	310.08	43.1	15.1
Pseudomonas_1_2_3_4;size=1	1	1357	141	1357	100	139.191	43.3	60
Salmonella_7;size=1	1	1363	106	1363	100	105.164	43.7	53.6
Staphylococcus_2;size=1	1	1372	324	1372	100	322.972	43.9	40.9
Staphylococcus_3;size=1	1	1372	299	1372	100	296.788	43.8	27.1
