rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Bacillus_10;size=1	1	4210	4	4210	100	3.9943	81.9	6
Bacillus_1;size=1	1	4210	5	4210	100	4.95463	46.5	5
Bacillus_2;size=1	1	4387	2	4387	100	1.99932	86	12.5
Bacillus_3;size=1	1	4387	2	4385	99.9544	1.98154	30.7	16
Bacillus_4_5;size=1	1	4210	10	4210	100	9.9829	74.7	4.8
Bacillus_6;size=1	1	4210	2	4210	100	1.99976	90.9	7
Bacillus_7;size=1	1	4210	4	4210	100	3.99572	80.8	5.25
Bacillus_8;size=1	1	4210	7	4210	100	6.9867	70.9	21.6
Bacillus_9;size=1	1	4210	9	4210	100	8.9639	62.3	22.1
Enterococcus_1;size=1	1	4364	1	4361	99.9313	0.999313	64.6	35
Enterococcus_2;size=1	1	4364	3	4364	100	2.9984	78.9	31.7
Enterococcus_3;size=1	1	4262	1	4253	99.7888	0.997888	80.1	5
Enterococcus_4;size=1	1	4262	4	4262	100	3.98006	55.6	7.5
Escherichia_1;size=1	1	4451	10	4451	100	9.99551	88.7	60
Escherichia_2;size=1	1	4358	9	4358	100	8.98095	69	6
Escherichia_3;size=1	1	4358	4	4358	100	4	92.9	6
Escherichia_4;size=1	1	4452	7	4452	100	6.9881	74.4	60
Escherichia_5;size=1	1	4358	3	4358	100	2.9899	71.1	6.67
Escherichia_6;size=1	1	4441	5	4441	100	4.99527	73.5	60
Escherichia_7;size=1	1	4435	3	4435	100	2.98309	61.8	60
Lactobacillus_1;size=1	1	4268	11	4268	100	10.9749	72	56.6
Lactobacillus_2;size=1	1	4453	8	4453	100	7.98248	70.8	60
Lactobacillus_3;size=1	1	4258	12	4258	100	11.9385	71.2	51.5
Lactobacillus_4;size=1	1	4258	8	4258	100	7.99342	77.2	57
Lactobacillus_5;size=1	1	4453	12	4453	100	10.3175	66.1	51.3
Listeria_1;size=1	1	4291	9	4291	100	8.9422	59.2	7.33
Listeria_2_5;size=1	1	4291	20	4291	100	19.9627	77.3	5.75
Listeria_3;size=1	1	4542	9	4542	100	8.98371	69.2	4.44
Listeria_4;size=1	1	4542	2	4542	100	2	91.7	5
Listeria_6;size=1	1	4291	4	4291	100	3.99441	79.4	4.5
Pseudomonas_1_2_3_4;size=1	1	4456	28	4456	100	27.9767	84.2	60
Salmonella_1;size=1	1	4360	2	4360	100	2	92.9	5
Salmonella_2_4;size=1	1	4360	5	4360	100	4.98234	66.8	3.2
Salmonella_3;size=1	1	4519	1	4507	99.7345	0.997345	44.8	23
Salmonella_5;size=1	1	4519	4	4519	100	3.99403	79.5	20.5
Salmonella_6;size=1	1	4360	3	4360	100	2.99931	92	7
Salmonella_7;size=1	1	4619	1	4619	100	1	93	60
Staphylococcus_1;size=1	1	4466	17	4466	100	16.9693	75.7	50.9
Staphylococcus_2;size=1	1	4512	25	4512	100	24.9415	75	58.8
Staphylococcus_3;size=1	1	4516	19	4516	100	18.9522	77.5	58.6
Staphylococcus_4;size=1	1	4391	23	4391	100	22.9565	75.4	38.3
Staphylococcus_5;size=1	1	4424	24	4424	100	23.9238	67.6	52.2
Staphylococcus_6;size=1	1	4483	19	4483	100	18.9482	73.9	60
