rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Salmonella_5;size=5	1	1363	676	1363	100	673.521	76.5	59.8
Enterococcus_4;size=4	1	1381	518	1381	100	516.524	74.2	59.8
Staphylococcus_4;size=4	1	1372	3276	1372	100	3268.59	76.2	38.2
Bacillus_4_5;size=3	1	1370	719	1370	100	717.272	74.4	14.5
Bacillus_7;size=2	1	1370	404	1370	100	403.207	76.1	14.6
Escherichia_5;size=2	1	1363	472	1363	100	471.103	76.1	18.4
Listeria_2_5;size=2	1	1370	863	1370	100	861.125	75.3	16.3
Listeria_6;size=2	1	1370	487	1370	100	485.985	76	16.5
Bacillus_1;size=1	1	1370	162	1370	100	161.547	74	13.5
Bacillus_3;size=1	1	1370	109	1370	100	108.817	76.6	15.4
Bacillus_8;size=1	1	1370	190	1370	100	189.603	75.5	30.9
Bacillus_9;size=1	1	1370	217	1370	100	215.533	73.6	18.7
Escherichia_1;size=1	1	1363	230	1363	100	229.321	76.3	59.6
Escherichia_2;size=1	1	1363	244	1363	100	243.552	77.4	17.8
Escherichia_4;size=1	1	1363	185	1363	100	184.721	81.4	59.3
Escherichia_6;size=1	1	1363	179	1363	100	177.803	73.4	59.1
Escherichia_7;size=1	1	1363	188	1363	100	187.676	79.2	59.1
Lactobacillus_1;size=1	1	1406	465	1406	100	463.758	73.9	53.6
Lactobacillus_2;size=1	1	1396	333	1396	100	332.186	75.5	33.5
Lactobacillus_3;size=1	1	1396	521	1396	100	519.832	75.8	28.8
Lactobacillus_4;size=1	1	1396	520	1396	100	518.976	74.8	36.8
Lactobacillus_5;size=1	1	1396	351	1396	100	349.672	73.9	43.6
Listeria_1;size=1	1	1370	357	1370	100	356.191	75	18.3
Pseudomonas_1_2_3_4;size=1	1	1357	1107	1357	100	1104.5	76.6	60
Salmonella_7;size=1	1	1363	83	1363	100	82.7968	72.6	59.6
Staphylococcus_2;size=1	1	1372	780	1372	100	778.187	74.3	49.2
Staphylococcus_3;size=1	1	1372	605	1372	100	603.579	76.4	40.7
