rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Bacillus_10;size=1	1	4210	18	4210	100	17.9525	75	5.44
Bacillus_1;size=1	1	4210	22	4210	100	21.9171	66.4	5.64
Bacillus_2;size=1	1	4387	13	4387	100	12.9701	76.6	12.2
Bacillus_3;size=1	1	4387	11	4387	100	10.9663	64.1	13.9
Bacillus_4_5;size=1	1	4210	45	4210	100	44.8838	72.2	5.38
Bacillus_6;size=1	1	4210	15	4210	100	14.9539	71.6	7.27
Bacillus_7;size=1	1	4210	20	4210	100	19.9473	71.7	4.8
Bacillus_8;size=1	1	4210	18	4210	100	17.9404	67.3	22.9
Bacillus_9;size=1	1	4210	25	4210	100	24.928	66.2	21.8
Enterococcus_1;size=1	1	4364	6	4364	100	5.99358	76.5	32.5
Enterococcus_2;size=1	1	4364	8	4364	100	7.98327	75.3	33.8
Enterococcus_3;size=1	1	4262	22	4262	100	21.9031	66.6	5.09
Enterococcus_4;size=1	1	4262	18	4262	100	17.9477	70.2	5.94
Escherichia_1;size=1	1	4451	31	4451	100	30.911	83.9	59.7
Escherichia_2;size=1	1	4358	37	4358	100	36.9243	74.8	6.27
Escherichia_3;size=1	1	4358	24	4358	100	23.9312	75.4	6
Escherichia_4;size=1	1	4452	24	4452	100	23.9414	71.8	60
Escherichia_5;size=1	1	4358	19	4358	100	18.9383	67	6.05
Escherichia_6;size=1	1	4441	17	4441	100	16.9849	81.2	60
Escherichia_7;size=1	1	4435	20	4435	100	19.9301	70.2	60
Lactobacillus_1;size=1	1	4268	48	4268	100	47.8847	71.4	57.1
Lactobacillus_2;size=1	1	4453	33	4453	100	32.8998	71.1	59.5
Lactobacillus_3;size=1	1	4258	50	4258	100	49.8713	76.4	54
Lactobacillus_4;size=1	1	4258	56	4258	100	55.8671	75.9	56.6
Lactobacillus_5;size=1	1	4453	34	4453	100	31.2639	65.5	54.8
Listeria_1;size=1	1	4291	36	4291	100	35.8632	66.4	6.61
Listeria_2_5;size=1	1	4291	77	4291	100	76.838	78.9	5.7
Listeria_3;size=1	1	4542	22	4542	100	21.8602	65.1	5.41
Listeria_4;size=1	1	4542	22	4542	100	21.969	82.1	5.36
Listeria_6;size=1	1	4291	23	4291	100	22.9366	72.9	5.13
Pseudomonas_1_2_3_4;size=1	1	4456	133	4456	100	132.669	77	60
Salmonella_1;size=1	1	4360	20	4360	100	19.9807	82.2	5.1
Salmonella_2_4;size=1	1	4360	33	4360	100	32.9284	73.1	4.09
Salmonella_3;size=1	1	4519	3	4519	100	2.99403	63.5	21
Salmonella_5;size=1	1	4519	10	4519	100	9.98761	81.1	20
Salmonella_6;size=1	1	4360	20	4360	100	19.9658	77.1	7.35
Salmonella_7;size=1	1	4619	10	4619	100	9.99437	89.4	60
Staphylococcus_1;size=1	1	4466	87	4466	100	86.8318	77.2	50.9
Staphylococcus_2;size=1	1	4512	101	4512	100	100.738	74.1	58.8
Staphylococcus_3;size=1	1	4516	73	4516	100	72.8372	77.1	59.6
Staphylococcus_4;size=1	1	4391	99	4391	100	98.8087	76.2	39.1
Staphylococcus_5;size=1	1	4424	102	4424	100	101.714	71.1	51.8
Staphylococcus_6;size=1	1	4483	78	4483	100	77.8512	76.8	60
