rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Bacillus_10;size=1	1	4210	2	4210	100	1.9943	71.4	7
Bacillus_1;size=1	1	4210	1	4164	98.9074	0.989074	40.8	1
Bacillus_2;size=1	1	4387	1	4384	99.9316	0.999316	78.9	13
Bacillus_3;size=1	1	4387	1	4350	99.1566	0.991566	33.1	16
Bacillus_4_5;size=1	1	4210	6	4210	100	5.99145	72.4	5.5
Bacillus_6;size=1	1	4210	2	4210	100	1.99976	90.9	7
Bacillus_7;size=1	1	4210	2	4210	100	1.99691	72.3	5.5
Bacillus_8;size=1	1	4210	3	4210	100	2.99477	68.1	21
Bacillus_9;size=1	1	4210	8	4210	100	7.97245	65.7	21.5
Enterococcus_1;size=1	1	4364	1	4361	99.9313	0.999313	64.6	35
Enterococcus_2;size=1	1	4364	3	4364	100	2.9984	78.9	31.7
Enterococcus_3;size=1	1	4262	1	4253	99.7888	0.997888	80.1	5
Enterococcus_4;size=1	1	4262	4	4262	100	3.98006	55.6	7.5
Escherichia_1;size=1	1	4451	7	4451	100	6.9973	88.1	60
Escherichia_2;size=1	1	4358	3	4358	100	2.99541	77.6	6.33
Escherichia_3;size=1	1	4358	4	4358	100	4	92.9	6
Escherichia_4;size=1	1	4452	6	4452	100	5.98899	74.3	60
Escherichia_5;size=1	1	4358	3	4358	100	2.9899	71.1	6.67
Escherichia_6;size=1	1	4441	4	4441	100	3.99527	68.6	60
Escherichia_7;size=1	1	4435	1	4434	99.9775	0.999775	92.9	60
Lactobacillus_1;size=1	1	4268	7	4268	100	6.98008	69.9	56.6
Lactobacillus_2;size=1	1	4453	4	4453	100	3.99708	85.2	60
Lactobacillus_3;size=1	1	4258	5	4258	100	4.99342	73.8	55
Lactobacillus_4;size=1	1	4258	4	4258	100	3.99507	69.9	57.5
Lactobacillus_5;size=1	1	4453	7	4453	100	5.32293	48.1	45.1
Listeria_1;size=1	1	4291	6	4291	100	5.96528	66.5	7
Listeria_2_5;size=1	1	4291	12	4291	100	11.9697	74.4	5.5
Listeria_3;size=1	1	4542	7	4542	100	6.98811	69.6	4.71
Listeria_4;size=1	1	4542	1	4542	100	1	92.7	5
Listeria_6;size=1	1	4291	4	4291	100	3.99441	79.4	4.5
Pseudomonas_1_2_3_4;size=1	1	4456	18	4456	100	17.9832	83.8	60
Salmonella_2_4;size=1	1	4360	3	4360	100	2.99037	60.2	2
Salmonella_3;size=1	1	4519	1	4507	99.7345	0.997345	44.8	23
Salmonella_5;size=1	1	4519	2	4519	100	2	88.2	20
Salmonella_6;size=1	1	4360	2	4360	100	2	93	7
Salmonella_7;size=1	1	4619	1	4619	100	1	93	60
Staphylococcus_1;size=1	1	4466	11	4466	100	10.9928	86.2	49
Staphylococcus_2;size=1	1	4512	15	4512	100	14.9546	69.7	58.3
Staphylococcus_3;size=1	1	4516	8	4516	100	7.97631	86.3	56.8
Staphylococcus_4;size=1	1	4391	12	4391	100	11.9752	74.6	37.2
Staphylococcus_5;size=1	1	4424	14	4424	100	13.9693	77.1	50.8
Staphylococcus_6;size=1	1	4483	14	4483	100	13.9752	80.4	60
Salmonella_1;size=1	1	4360	0	0	0	0	0	0
