rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Salmonella_5;size=5	1	1363	893	1363	100	890.125	76.7	59.9
Enterococcus_4;size=4	1	1381	660	1381	100	658.134	74.9	59.8
Staphylococcus_4;size=4	1	1372	4276	1372	100	4264.63	76.3	38.2
Bacillus_4_5;size=3	1	1370	943	1370	100	940.872	74.6	14.6
Bacillus_7;size=2	1	1370	534	1370	100	533.026	76.5	14.5
Escherichia_5;size=2	1	1363	631	1363	100	629.764	76	18.6
Listeria_2_5;size=2	1	1370	1128	1370	100	1125.63	75.6	16.3
Listeria_6;size=2	1	1370	627	1370	100	625.647	75.6	16.6
Bacillus_1;size=1	1	1370	209	1370	100	208.428	74.5	13.5
Bacillus_3;size=1	1	1370	140	1370	100	139.788	78	15.1
Bacillus_8;size=1	1	1370	254	1370	100	253.452	74.8	30.6
Bacillus_9;size=1	1	1370	307	1370	100	305.312	72.9	18.7
Escherichia_1;size=1	1	1363	300	1363	100	299.221	77.1	59.7
Escherichia_2;size=1	1	1363	332	1363	100	331.368	77.5	17.8
Escherichia_4;size=1	1	1363	227	1363	100	226.593	79.4	59.2
Escherichia_6;size=1	1	1363	230	1363	100	228.537	74.1	59
Escherichia_7;size=1	1	1363	242	1363	100	241.617	79.3	59.3
Lactobacillus_1;size=1	1	1406	637	1406	100	635.482	75.1	53.9
Lactobacillus_2;size=1	1	1396	460	1396	100	458.903	75.9	33.3
Lactobacillus_3;size=1	1	1396	678	1396	100	676.077	76.4	28.6
Lactobacillus_4;size=1	1	1396	662	1396	100	660.735	75.1	36.8
Lactobacillus_5;size=1	1	1396	442	1396	100	440.539	75.2	43.7
Listeria_1;size=1	1	1370	467	1370	100	465.711	73.8	18.3
Pseudomonas_1_2_3_4;size=1	1	1357	1447	1357	100	1443.92	77	60
Salmonella_7;size=1	1	1363	102	1363	100	101.745	72.5	59.5
Staphylococcus_2;size=1	1	1372	1036	1372	100	1033.76	75.2	49.1
Staphylococcus_3;size=1	1	1372	778	1372	100	776.249	76.6	40.6
