rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Salmonella_5;size=5	1	1363	56	1363	100	55.9574	39.5	58.1
Enterococcus_4;size=4	1	1381	79	1381	100	78.8907	39.8	59.2
Staphylococcus_4;size=4	1	1372	114	1372	100	113.797	39.5	32
Bacillus_4_5;size=3	1	1370	40	1370	100	39.9234	39.7	10.4
Bacillus_7;size=2	1	1370	27	1370	100	26.9788	39.3	10.6
Escherichia_5;size=2	1	1363	22	1363	100	21.9839	39.4	17.9
Listeria_2_5;size=2	1	1370	71	1370	100	70.946	39.5	16.3
Listeria_6;size=2	1	1370	40	1370	100	39.9321	39.4	15.1
Bacillus_1;size=1	1	1370	15	1370	100	14.9642	39.7	10
Bacillus_3;size=1	1	1370	16	1370	100	15.9861	39.7	13.1
Bacillus_8;size=1	1	1370	25	1370	100	24.9759	39.5	22.5
Bacillus_9;size=1	1	1370	20	1370	100	19.9584	39.6	9.2
Escherichia_1;size=1	1	1363	6	1363	100	5.99853	39.3	60
Escherichia_2;size=1	1	1363	10	1363	100	9.98899	39.7	15.6
Escherichia_4;size=1	1	1363	5	1363	100	4.99927	39.9	46
Escherichia_6;size=1	1	1363	8	1363	100	7.99707	39.9	52.4
Escherichia_7;size=1	1	1363	7	1363	100	6.9978	39.5	31.7
Lactobacillus_1;size=1	1	1406	20	1406	100	19.9381	39.8	38.1
Lactobacillus_2;size=1	1	1396	19	1396	100	18.9491	39.8	24.3
Lactobacillus_3;size=1	1	1396	29	1396	100	28.9642	39.8	21.3
Lactobacillus_4;size=1	1	1396	33	1396	100	32.765	39.5	31.2
Lactobacillus_5;size=1	1	1396	31	1396	100	30.8997	39.7	36.8
Listeria_1;size=1	1	1370	27	1370	100	26.9343	39.8	14.8
Pseudomonas_1_2_3_4;size=1	1	1357	19	1357	100	18.9801	39.7	60
Salmonella_7;size=1	1	1363	10	1363	100	9.96992	39.3	52.9
Staphylococcus_2;size=1	1	1372	32	1372	100	31.949	39.6	39.1
Staphylococcus_3;size=1	1	1372	24	1372	100	23.9803	39.5	33.5
