rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Bacillus_10;size=1	1	4210	160	4210	100	159.123	42.9	4.99
Bacillus_1;size=1	1	4210	242	4210	100	240.053	42.6	2.9
Bacillus_2;size=1	1	4387	184	4387	100	181.244	42.5	10.2
Bacillus_3;size=1	1	4387	115	4387	100	113.242	42.6	8.67
Bacillus_4_5;size=1	1	4210	378	4210	100	375.817	43.1	3.01
Bacillus_6;size=1	1	4210	168	4210	100	166.568	43.1	5.18
Bacillus_7;size=1	1	4210	164	4210	100	162.019	42.5	3.18
Bacillus_8;size=1	1	4210	239	4210	100	236.261	42.3	13.3
Bacillus_9;size=1	1	4210	188	4210	100	185.581	42.7	11
Enterococcus_1;size=1	1	4364	126	4364	100	124.487	43.6	29
Enterococcus_2;size=1	1	4364	196	4364	100	192.578	43.1	27.7
Enterococcus_3;size=1	1	4262	276	4262	100	271.821	43.7	4.84
Enterococcus_4;size=1	1	4262	237	4262	100	234.99	43.8	5.48
Escherichia_1;size=1	1	4451	133	4451	100	130.571	43.9	45.2
Escherichia_2;size=1	1	4358	116	4358	100	114.446	43.7	5.13
Escherichia_3;size=1	1	4358	148	4358	100	146.93	43.6	5.4
Escherichia_4;size=1	1	4452	106	4452	100	104.467	43.6	40.5
Escherichia_5;size=1	1	4358	196	4358	100	193.661	43.4	4.84
Escherichia_6;size=1	1	4441	122	4441	100	120.162	43.6	47.8
Escherichia_7;size=1	1	4435	115	4435	100	113.284	42.9	57.3
Lactobacillus_1;size=1	1	4268	315	4268	100	306.577	42.7	33.8
Lactobacillus_2;size=1	1	4453	263	4453	100	257.42	43.2	39.9
Lactobacillus_3;size=1	1	4258	432	4258	100	424.291	42.7	32.6
Lactobacillus_4;size=1	1	4258	315	4258	100	307.431	42.8	31.2
Lactobacillus_5;size=1	1	4453	256	4453	100	249.018	42.4	41.6
Listeria_1;size=1	1	4291	395	4291	100	390.459	42.8	3.21
Listeria_2_5;size=1	1	4291	411	4291	100	407.728	42.7	5.09
Listeria_3;size=1	1	4542	244	4542	100	237.765	43.1	4.66
Listeria_4;size=1	1	4542	203	4542	100	196.497	42.5	3.58
Listeria_6;size=1	1	4291	380	4291	100	377.123	43.2	3.29
Pseudomonas_1_2_3_4;size=1	1	4456	197	4456	100	193.105	43.5	60
Salmonella_1;size=1	1	4360	311	4360	100	308.417	44	3.91
Salmonella_2_4;size=1	1	4360	258	4360	100	255.768	42.9	4.82
Salmonella_3;size=1	1	4519	144	4519	100	141.323	44	14.3
Salmonella_5;size=1	1	4519	136	4519	100	134.711	43.6	13.7
Salmonella_6;size=1	1	4360	125	4360	100	123.73	43	5.66
Salmonella_7;size=1	1	4619	118	4619	100	115.423	43.5	54.1
Staphylococcus_1;size=1	1	4466	230	4466	100	225.878	44.1	39.2
Staphylococcus_2;size=1	1	4512	245	4512	100	240.559	43.7	44.1
Staphylococcus_3;size=1	1	4516	248	4516	100	243.158	43.6	53.6
Staphylococcus_4;size=1	1	4391	224	4391	100	219.739	43.8	30.9
Staphylococcus_5;size=1	1	4424	228	4424	100	224.303	43.9	42.9
Staphylococcus_6;size=1	1	4483	219	4483	100	215.185	43.6	53.6
