rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Bacillus_10;size=1	1	4210	35	4210	100	34.8553	43.5	4.69
Bacillus_1;size=1	1	4210	60	4210	100	59.6285	41.9	3
Bacillus_2;size=1	1	4387	47	4387	100	46.6077	41.4	10.8
Bacillus_3;size=1	1	4387	29	4387	100	27.726	40.7	7.03
Bacillus_4_5;size=1	1	4210	73	4210	100	72.4629	42.1	2.74
Bacillus_6;size=1	1	4210	29	4210	100	28.2542	43.3	5.21
Bacillus_7;size=1	1	4210	38	4210	100	37.6482	41.8	3.03
Bacillus_8;size=1	1	4210	55	4210	100	54.6542	41.8	12.9
Bacillus_9;size=1	1	4210	49	4210	100	47.9059	43	11.7
Enterococcus_1;size=1	1	4364	20	4364	100	19.1476	43.5	28.9
Enterococcus_2;size=1	1	4364	54	4364	100	53.4478	43.1	28.4
Enterococcus_3;size=1	1	4262	57	4262	100	56.5415	44.3	5.28
Enterococcus_4;size=1	1	4262	51	4262	100	50.6039	43.9	4.98
Escherichia_1;size=1	1	4451	27	4451	100	26.8088	44.7	50.7
Escherichia_2;size=1	1	4358	38	4358	100	36.6175	42.4	4.5
Escherichia_3;size=1	1	4358	35	4358	100	34.8901	44.3	5.8
Escherichia_4;size=1	1	4452	22	4452	100	21.9079	44.1	41.5
Escherichia_5;size=1	1	4358	38	4358	100	37.6354	42.7	4.97
Escherichia_6;size=1	1	4441	30	4441	100	29.8205	43.9	48.6
Escherichia_7;size=1	1	4435	33	4435	100	31.8958	43	54.1
Lactobacillus_1;size=1	1	4268	80	4268	100	77.6232	42.3	30.4
Lactobacillus_2;size=1	1	4453	66	4453	100	64.1803	43.3	41.4
Lactobacillus_3;size=1	1	4258	113	4258	100	110.845	42.4	32.5
Lactobacillus_4;size=1	1	4258	71	4258	100	68.4972	43.5	28
Lactobacillus_5;size=1	1	4453	57	4453	100	55.6975	42.5	43.9
Listeria_1;size=1	1	4291	87	4291	100	86.2738	43.1	3.38
Listeria_2_5;size=1	1	4291	80	4291	100	79.6001	43.3	5.19
Listeria_3;size=1	1	4542	47	4542	100	44.4555	42.2	4.36
Listeria_4;size=1	1	4542	54	4542	100	52.1319	42.8	3.48
Listeria_6;size=1	1	4291	84	4291	100	83.2326	43	3.49
Pseudomonas_1_2_3_4;size=1	1	4456	28	4456	100	27.7435	43.1	60
Salmonella_1;size=1	1	4360	74	4360	100	73.4885	44.2	3.84
Salmonella_2_4;size=1	1	4360	56	4360	100	55.7874	42.4	4.84
Salmonella_3;size=1	1	4519	34	4519	100	33.6944	43.5	14
Salmonella_5;size=1	1	4519	26	4519	100	25.6687	42.8	11.4
Salmonella_6;size=1	1	4360	30	4360	100	29.8782	42.4	6.03
Salmonella_7;size=1	1	4619	28	4619	100	27.0197	43.7	55.9
Staphylococcus_1;size=1	1	4466	57	4466	100	56.3813	44.5	38.1
Staphylococcus_2;size=1	1	4512	56	4512	100	54.3001	43.4	41.9
Staphylococcus_3;size=1	1	4516	49	4516	100	47.6213	44	55.5
Staphylococcus_4;size=1	1	4391	61	4391	100	59.1246	43	30.8
Staphylococcus_5;size=1	1	4424	54	4424	100	53.4229	44.4	39
Staphylococcus_6;size=1	1	4483	52	4483	100	51.6355	44.3	53.3
