rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Bacillus_10;size=1	1	4210	1	4210	100	1	93	5
Bacillus_2;size=1	1	4387	1	4384	99.9316	0.999316	78.9	13
Bacillus_3;size=1	1	4387	1	4350	99.1566	0.991566	33.1	16
Bacillus_4_5;size=1	1	4210	5	4210	100	4.99596	77.7	5
Bacillus_6;size=1	1	4210	2	4210	100	1.99976	90.9	7
Bacillus_7;size=1	1	4210	1	4210	100	1	92.9	5
Bacillus_8;size=1	1	4210	2	4210	100	1.99644	69.5	22
Bacillus_9;size=1	1	4210	5	4210	100	4.98219	63.7	20.8
Enterococcus_2;size=1	1	4364	2	4364	100	1.9984	76.3	31.5
Enterococcus_4;size=1	1	4262	2	4262	100	1.98827	71.5	7
Escherichia_1;size=1	1	4451	6	4451	100	5.9973	87.2	60
Escherichia_2;size=1	1	4358	1	4357	99.9771	0.999771	90.8	6
Escherichia_3;size=1	1	4358	2	4358	100	2	93	6
Escherichia_4;size=1	1	4452	4	4452	100	3.98967	65.4	60
Escherichia_5;size=1	1	4358	3	4358	100	2.9899	71.1	6.67
Escherichia_6;size=1	1	4441	1	4426	99.6622	0.996622	40.5	60
Escherichia_7;size=1	1	4435	1	4434	99.9775	0.999775	92.9	60
Lactobacillus_1;size=1	1	4268	5	4268	100	4.98688	71.2	56
Lactobacillus_2;size=1	1	4453	3	4453	100	2.9991	86.9	60
Lactobacillus_3;size=1	1	4258	4	4258	100	3.99436	72.6	55.2
Lactobacillus_4;size=1	1	4258	2	4258	100	1.99906	74.3	57.5
Lactobacillus_5;size=1	1	4453	2	4453	100	1.96429	24.5	53.5
Listeria_1;size=1	1	4291	4	4291	100	3.99534	80.8	6.5
Listeria_2_5;size=1	1	4291	10	4291	100	9.96994	72.6	5.4
Listeria_3;size=1	1	4542	2	4542	100	1.99736	61	4
Listeria_6;size=1	1	4291	1	4281	99.767	0.99767	92.3	0
Pseudomonas_1_2_3_4;size=1	1	4456	11	4456	100	10.9874	83.5	60
Salmonella_2_4;size=1	1	4360	3	4360	100	2.99037	60.2	2
Salmonella_5;size=1	1	4519	2	4519	100	2	88.2	20
Salmonella_6;size=1	1	4360	2	4360	100	2	93	7
Salmonella_7;size=1	1	4619	1	4619	100	1	93	60
Staphylococcus_1;size=1	1	4466	6	4466	100	5.99507	86.7	49.2
Staphylococcus_2;size=1	1	4512	9	4512	100	8.95988	60	57.4
Staphylococcus_3;size=1	1	4516	5	4516	100	4.99712	86	60
Staphylococcus_4;size=1	1	4391	6	4391	100	5.9893	78.3	39.3
Staphylococcus_5;size=1	1	4424	7	4424	100	6.98892	77.8	49.9
Staphylococcus_6;size=1	1	4483	9	4483	100	8.98751	79.7	60
Bacillus_1;size=1	1	4210	0	0	0	0	0	0
Enterococcus_1;size=1	1	4364	0	0	0	0	0	0
Enterococcus_3;size=1	1	4262	0	0	0	0	0	0
Listeria_4;size=1	1	4542	0	0	0	0	0	0
Salmonella_1;size=1	1	4360	0	0	0	0	0	0
Salmonella_3;size=1	1	4519	0	0	0	0	0	0
