rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Bacillus_10;size=1	1	4210	236	4210	100	233.768	42.6	4.87
Bacillus_1;size=1	1	4210	364	4210	100	360.843	42.7	2.96
Bacillus_2;size=1	1	4387	284	4387	100	280.438	42.9	10.1
Bacillus_3;size=1	1	4387	170	4387	100	167.276	42.8	8.13
Bacillus_4_5;size=1	1	4210	544	4210	100	540.836	43	3.03
Bacillus_6;size=1	1	4210	264	4210	100	261.634	43	5.33
Bacillus_7;size=1	1	4210	254	4210	100	251.393	42.4	3.42
Bacillus_8;size=1	1	4210	353	4210	100	348.962	42.6	13.8
Bacillus_9;size=1	1	4210	286	4210	100	282.846	43	11.1
Enterococcus_1;size=1	1	4364	200	4364	100	197.888	43.5	30
Enterococcus_2;size=1	1	4364	304	4364	100	297.232	42.9	27.5
Enterococcus_3;size=1	1	4262	403	4262	100	396.185	43.8	4.93
Enterococcus_4;size=1	1	4262	361	4262	100	356.453	43.7	5.47
Escherichia_1;size=1	1	4451	196	4451	100	191.847	43.6	44.4
Escherichia_2;size=1	1	4358	183	4358	100	179.833	43.5	4.95
Escherichia_3;size=1	1	4358	244	4358	100	241.484	43.6	5.4
Escherichia_4;size=1	1	4452	164	4452	100	161.403	43.1	37.9
Escherichia_5;size=1	1	4358	296	4358	100	292.009	43.5	4.89
Escherichia_6;size=1	1	4441	199	4441	100	196.663	43.4	49.2
Escherichia_7;size=1	1	4435	167	4435	100	164.944	43	57.1
Lactobacillus_1;size=1	1	4268	469	4268	100	456.408	42.7	33.2
Lactobacillus_2;size=1	1	4453	391	4453	100	380.983	43.2	41.2
Lactobacillus_3;size=1	1	4258	651	4258	100	638.443	43	32.7
Lactobacillus_4;size=1	1	4258	466	4258	100	454.616	42.8	31.8
Lactobacillus_5;size=1	1	4453	385	4453	100	375.768	42.6	42.9
Listeria_1;size=1	1	4291	591	4291	100	583.414	42.9	3.31
Listeria_2_5;size=1	1	4291	622	4291	100	614.55	42.8	4.98
Listeria_3;size=1	1	4542	370	4542	100	360.406	42.9	4.64
Listeria_4;size=1	1	4542	318	4542	100	307.57	42.6	3.77
Listeria_6;size=1	1	4291	597	4291	100	591.919	43.1	3.52
Pseudomonas_1_2_3_4;size=1	1	4456	283	4456	100	277.612	43.5	60
Salmonella_1;size=1	1	4360	476	4360	100	470.657	43.7	4.03
Salmonella_2_4;size=1	1	4360	393	4360	100	389.998	43	5.04
Salmonella_3;size=1	1	4519	247	4519	100	240.563	44	14.8
Salmonella_5;size=1	1	4519	200	4519	100	197.238	43.7	14.1
Salmonella_6;size=1	1	4360	171	4360	100	169.534	43	5.88
Salmonella_7;size=1	1	4619	171	4619	100	166.919	43.7	54
Staphylococcus_1;size=1	1	4466	367	4466	100	359.904	43.9	38.7
Staphylococcus_2;size=1	1	4512	370	4512	100	364.17	43.5	43.1
Staphylococcus_3;size=1	1	4516	389	4516	100	378.89	43.6	52.5
Staphylococcus_4;size=1	1	4391	352	4391	100	344.618	43.8	29.7
Staphylococcus_5;size=1	1	4424	377	4424	100	370.726	43.9	43.2
Staphylococcus_6;size=1	1	4483	330	4483	100	324.531	43.6	53.9
