rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Bacillus_10;size=1	1	4210	1193	4210	100	1180.07	42.9	5.05
Bacillus_1;size=1	1	4210	1795	4210	100	1779.27	42.8	3.08
Bacillus_2;size=1	1	4387	1348	4387	100	1328	42.9	9.79
Bacillus_3;size=1	1	4387	805	4387	100	789.217	42.7	7.91
Bacillus_4_5;size=1	1	4210	2496	4210	100	2476.48	43.1	3.01
Bacillus_6;size=1	1	4210	1293	4210	100	1277.18	42.9	4.96
Bacillus_7;size=1	1	4210	1133	4210	100	1120.92	42.6	3.32
Bacillus_8;size=1	1	4210	1622	4210	100	1604.92	42.9	14.5
Bacillus_9;size=1	1	4210	1332	4210	100	1315.61	43	11
Enterococcus_1;size=1	1	4364	921	4364	100	904.84	43.7	29.9
Enterococcus_2;size=1	1	4364	1353	4364	100	1328.9	43.4	28.7
Enterococcus_3;size=1	1	4262	1847	4262	100	1823.27	43.7	5.07
Enterococcus_4;size=1	1	4262	1685	4262	100	1666.64	43.7	5.21
Escherichia_1;size=1	1	4451	907	4451	100	894.677	43.5	42.5
Escherichia_2;size=1	1	4358	943	4358	100	930.535	43.4	4.78
Escherichia_3;size=1	1	4358	1136	4358	100	1119.82	43.5	5.2
Escherichia_4;size=1	1	4452	842	4452	100	829.116	43.4	39.3
Escherichia_5;size=1	1	4358	1359	4358	100	1343.47	43.6	5.09
Escherichia_6;size=1	1	4441	930	4441	100	915.468	43.4	47.8
Escherichia_7;size=1	1	4435	873	4435	100	857.298	43.6	56.2
Lactobacillus_1;size=1	1	4268	2230	4268	100	2177.78	42.8	33.7
Lactobacillus_2;size=1	1	4453	1982	4453	100	1930.98	42.8	41.3
Lactobacillus_3;size=1	1	4258	2967	4258	100	2906.03	42.7	32.9
Lactobacillus_4;size=1	1	4258	2277	4258	100	2229.26	42.8	33.2
Lactobacillus_5;size=1	1	4453	1718	4453	100	1676.32	42.7	42.2
Listeria_1;size=1	1	4291	2902	4291	100	2863.8	42.8	3.4
Listeria_2_5;size=1	1	4291	3025	4291	100	2993.49	42.9	4.79
Listeria_3;size=1	1	4542	1701	4542	100	1650.49	43	4.68
Listeria_4;size=1	1	4542	1599	4542	100	1557.8	42.8	3.73
Listeria_6;size=1	1	4291	2786	4291	100	2757.25	43.1	3.76
Pseudomonas_1_2_3_4;size=1	1	4456	1334	4456	100	1293.83	43.3	59.8
Salmonella_1;size=1	1	4360	2249	4360	100	2222.87	43.3	4.33
Salmonella_2_4;size=1	1	4360	1913	4360	100	1894.08	43.5	4.97
Salmonella_3;size=1	1	4519	1090	4519	100	1068.65	43.7	14.2
Salmonella_5;size=1	1	4519	898	4519	100	883.423	43.3	14.3
Salmonella_6;size=1	1	4360	911	4360	100	897.513	43.1	5.7
Salmonella_7;size=1	1	4619	725	4619	100	706.206	43.8	53.3
Staphylococcus_1;size=1	1	4466	1875	4466	100	1831.99	43.5	36.9
Staphylococcus_2;size=1	1	4512	1618	4512	100	1595.52	43.6	43.9
Staphylococcus_3;size=1	1	4516	1858	4516	100	1821.96	43.6	53.9
Staphylococcus_4;size=1	1	4391	1508	4391	100	1482.25	43.8	30.8
Staphylococcus_5;size=1	1	4424	1874	4424	100	1844.08	43.8	44.2
Staphylococcus_6;size=1	1	4483	1561	4483	100	1536.62	43.9	53.7
