rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Salmonella_5;size=5	1	1363	1781	1363	100	1770.25	43.7	58.2
Enterococcus_4;size=4	1	1381	3862	1381	100	3841.43	43.8	59.2
Staphylococcus_4;size=4	1	1372	4660	1372	100	4636.96	44.1	32.9
Bacillus_4_5;size=3	1	1370	1746	1370	100	1739.04	42.9	11.7
Bacillus_7;size=2	1	1370	1017	1370	100	1012.56	43.2	12.2
Escherichia_5;size=2	1	1363	508	1363	100	505.317	44	18.2
Listeria_2_5;size=2	1	1370	2765	1370	100	2750.76	43.3	14.3
Listeria_6;size=2	1	1370	1937	1370	100	1926.61	43.4	15.7
Bacillus_1;size=1	1	1370	517	1370	100	515.011	43	11.7
Bacillus_3;size=1	1	1370	527	1370	100	525.138	42.9	13.9
Bacillus_8;size=1	1	1370	1116	1370	100	1110.68	43.1	23.6
Bacillus_9;size=1	1	1370	952	1370	100	945.37	43	9.5
Escherichia_1;size=1	1	1363	361	1363	100	357.652	43.5	46.3
Escherichia_2;size=1	1	1363	242	1363	100	241.03	43.7	17.2
Escherichia_4;size=1	1	1363	309	1363	100	307.7	43.7	51.1
Escherichia_6;size=1	1	1363	271	1363	100	267.699	43.8	54.6
Escherichia_7;size=1	1	1363	342	1363	100	338.598	43.9	48.1
Lactobacillus_1;size=1	1	1406	814	1406	100	805.504	42.1	39.1
Lactobacillus_2;size=1	1	1396	822	1396	100	815.332	42.1	23.4
Lactobacillus_3;size=1	1	1396	1350	1396	100	1339.24	42	22
Lactobacillus_4;size=1	1	1396	1171	1396	100	1160.56	41.9	32.9
Lactobacillus_5;size=1	1	1396	1136	1396	100	1128.68	42.2	40
Listeria_1;size=1	1	1370	1143	1370	100	1133.59	43.4	15.1
Pseudomonas_1_2_3_4;size=1	1	1357	441	1357	100	437.075	43.7	59.8
Salmonella_7;size=1	1	1363	361	1363	100	357.643	43.5	53
Staphylococcus_2;size=1	1	1372	1102	1372	100	1095.54	44	41.5
Staphylococcus_3;size=1	1	1372	1084	1372	100	1077.38	44.3	29.2
