rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Salmonella_5;size=5	1	1363	1328	1363	100	1320.61	43.7	58.2
Enterococcus_4;size=4	1	1381	2906	1381	100	2890.04	43.8	59.3
Staphylococcus_4;size=4	1	1372	3508	1372	100	3490.39	44.1	32.7
Bacillus_4_5;size=3	1	1370	1347	1370	100	1341.72	43	11.6
Bacillus_7;size=2	1	1370	764	1370	100	760.802	43.2	12.2
Escherichia_5;size=2	1	1363	377	1363	100	374.826	43.9	18.3
Listeria_2_5;size=2	1	1370	2080	1370	100	2069.59	43.2	14.3
Listeria_6;size=2	1	1370	1482	1370	100	1473.28	43.4	15.6
Bacillus_1;size=1	1	1370	377	1370	100	375.511	43	11.8
Bacillus_3;size=1	1	1370	386	1370	100	384.651	42.8	14
Bacillus_8;size=1	1	1370	848	1370	100	843.512	43	23.6
Bacillus_9;size=1	1	1370	724	1370	100	719.283	43.2	9.77
Escherichia_1;size=1	1	1363	262	1363	100	259.108	43.5	45.3
Escherichia_2;size=1	1	1363	175	1363	100	174.316	43.7	17.4
Escherichia_4;size=1	1	1363	240	1363	100	239.012	43.8	51.1
Escherichia_6;size=1	1	1363	194	1363	100	192.539	43.6	55.4
Escherichia_7;size=1	1	1363	262	1363	100	259.128	43.9	47.3
Lactobacillus_1;size=1	1	1406	609	1406	100	603.064	42.1	38.6
Lactobacillus_2;size=1	1	1396	609	1396	100	603.946	42	23.4
Lactobacillus_3;size=1	1	1396	1021	1396	100	1011.56	41.9	21.9
Lactobacillus_4;size=1	1	1396	869	1396	100	860.871	42.1	33.1
Lactobacillus_5;size=1	1	1396	861	1396	100	855.521	42.2	40
Listeria_1;size=1	1	1370	832	1370	100	824.846	43.5	15.3
Pseudomonas_1_2_3_4;size=1	1	1357	327	1357	100	323.618	43.8	60
Salmonella_7;size=1	1	1363	255	1363	100	252.835	43.6	53.2
Staphylococcus_2;size=1	1	1372	824	1372	100	819.079	44	41.3
Staphylococcus_3;size=1	1	1372	794	1372	100	788.433	44.3	29.3
