rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Salmonella_5;size=5	1	1363	2668	1363	100	2663.39	39.6	57.9
Enterococcus_4;size=4	1	1381	4561	1381	100	4552.47	39.6	59.4
Staphylococcus_4;size=4	1	1372	6195	1372	100	6184.56	39.6	32.8
Bacillus_4_5;size=3	1	1370	2210	1370	100	2206.77	39.6	11
Bacillus_7;size=2	1	1370	1181	1370	100	1179.43	39.6	11.2
Escherichia_5;size=2	1	1363	825	1363	100	824.079	39.7	17.7
Listeria_2_5;size=2	1	1370	3457	1370	100	3453.3	39.6	15.8
Listeria_6;size=2	1	1370	2231	1370	100	2227.88	39.6	15.3
Bacillus_1;size=1	1	1370	823	1370	100	821.717	39.6	10.1
Bacillus_3;size=1	1	1370	684	1370	100	683.072	39.6	13.6
Bacillus_8;size=1	1	1370	1281	1370	100	1279.44	39.6	22.3
Bacillus_9;size=1	1	1370	1164	1370	100	1161.91	39.7	10.4
Escherichia_1;size=1	1	1363	440	1363	100	438.709	39.6	47.6
Escherichia_2;size=1	1	1363	399	1363	100	398.584	39.6	16.1
Escherichia_4;size=1	1	1363	378	1363	100	377.514	39.7	46.8
Escherichia_6;size=1	1	1363	430	1363	100	429.442	39.7	52
Escherichia_7;size=1	1	1363	478	1363	100	476.701	39.7	47.1
Lactobacillus_1;size=1	1	1406	1029	1406	100	1023.95	39.6	39.1
Lactobacillus_2;size=1	1	1396	1011	1396	100	1008.11	39.6	23
Lactobacillus_3;size=1	1	1396	1878	1396	100	1874.18	39.6	20.4
Lactobacillus_4;size=1	1	1396	1539	1396	100	1534.63	39.6	31.2
Lactobacillus_5;size=1	1	1396	1404	1396	100	1401.16	39.6	36.9
Listeria_1;size=1	1	1370	1386	1370	100	1381.77	39.6	15.5
Pseudomonas_1_2_3_4;size=1	1	1357	558	1357	100	557.111	39.6	59.9
Salmonella_7;size=1	1	1363	502	1363	100	500.999	39.7	53.1
Staphylococcus_2;size=1	1	1372	1501	1372	100	1498.93	39.7	37.6
Staphylococcus_3;size=1	1	1372	1472	1372	100	1469.58	39.6	28.1
