rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Salmonella_5;size=5	1	1363	780	1363	100	778.904	39.6	57.3
Enterococcus_4;size=4	1	1381	1317	1381	100	1314.47	39.6	59.4
Staphylococcus_4;size=4	1	1372	1853	1372	100	1849.85	39.6	32.4
Bacillus_4_5;size=3	1	1370	618	1370	100	617.172	39.6	11
Bacillus_7;size=2	1	1370	365	1370	100	364.654	39.6	11.3
Escherichia_5;size=2	1	1363	251	1363	100	250.778	39.6	17.7
Listeria_2_5;size=2	1	1370	1048	1370	100	1046.76	39.6	15.5
Listeria_6;size=2	1	1370	622	1370	100	621.146	39.6	15.1
Bacillus_1;size=1	1	1370	209	1370	100	208.634	39.6	10.9
Bacillus_3;size=1	1	1370	183	1370	100	182.812	39.6	14
Bacillus_8;size=1	1	1370	372	1370	100	371.414	39.6	21.3
Bacillus_9;size=1	1	1370	344	1370	100	343.382	39.7	11.1
Escherichia_1;size=1	1	1363	122	1363	100	121.788	39.6	46.1
Escherichia_2;size=1	1	1363	134	1363	100	133.811	39.6	16.5
Escherichia_4;size=1	1	1363	92	1363	100	91.9083	39.6	50.6
Escherichia_6;size=1	1	1363	129	1363	100	128.854	39.6	49.7
Escherichia_7;size=1	1	1363	116	1363	100	115.602	39.6	47.6
Lactobacillus_1;size=1	1	1406	306	1406	100	304.521	39.6	36.7
Lactobacillus_2;size=1	1	1396	292	1396	100	291.499	39.6	23.5
Lactobacillus_3;size=1	1	1396	548	1396	100	546.881	39.6	20.4
Lactobacillus_4;size=1	1	1396	448	1396	100	446.184	39.6	31.4
Lactobacillus_5;size=1	1	1396	421	1396	100	420.025	39.6	38.4
Listeria_1;size=1	1	1370	406	1370	100	404.766	39.7	16
Pseudomonas_1_2_3_4;size=1	1	1357	175	1357	100	174.713	39.7	59.8
Salmonella_7;size=1	1	1363	146	1363	100	145.702	39.6	53.9
Staphylococcus_2;size=1	1	1372	451	1372	100	450.22	39.6	37.9
Staphylococcus_3;size=1	1	1372	411	1372	100	410.214	39.7	27.9
