rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Salmonella_5;size=5	1	1363	113	1363	100	111.966	78.1	59.3
Enterococcus_4;size=4	1	1381	86	1381	100	85.8885	77.9	59.3
Staphylococcus_4;size=4	1	1372	570	1372	100	568.667	75.4	38.3
Bacillus_4_5;size=3	1	1370	118	1370	100	117.665	72.8	14.7
Bacillus_7;size=2	1	1370	78	1370	100	77.8518	75.3	14.6
Escherichia_5;size=2	1	1363	86	1363	100	85.8357	76.9	17.8
Listeria_2_5;size=2	1	1370	189	1370	100	188.542	75.5	16.4
Listeria_6;size=2	1	1370	91	1370	100	90.8044	73.1	17
Bacillus_1;size=1	1	1370	31	1370	100	30.8803	70.3	14.2
Bacillus_3;size=1	1	1370	19	1370	100	18.9803	80.6	15
Bacillus_8;size=1	1	1370	34	1370	100	33.9504	81.4	30.4
Bacillus_9;size=1	1	1370	43	1370	100	42.7482	74.3	19.2
Escherichia_1;size=1	1	1363	43	1363	100	42.8929	75	60
Escherichia_2;size=1	1	1363	51	1363	100	50.8555	76.5	17.9
Escherichia_4;size=1	1	1363	34	1363	100	33.9692	84.1	60
Escherichia_6;size=1	1	1363	24	1363	100	23.9582	77.9	59.9
Escherichia_7;size=1	1	1363	33	1363	100	32.9508	84.4	58.2
Lactobacillus_1;size=1	1	1406	97	1406	100	96.766	76.6	53.9
Lactobacillus_2;size=1	1	1396	72	1396	100	71.8904	79.6	33.5
Lactobacillus_3;size=1	1	1396	83	1396	100	82.8109	73	28.7
Lactobacillus_4;size=1	1	1396	98	1396	100	97.8317	76.6	36.5
Lactobacillus_5;size=1	1	1396	52	1396	100	51.5996	74.9	41.4
Listeria_1;size=1	1	1370	58	1370	100	57.8591	73.4	18.6
Pseudomonas_1_2_3_4;size=1	1	1357	199	1357	100	198.45	76	60
Salmonella_7;size=1	1	1363	14	1363	100	13.978	75.3	60
Staphylococcus_2;size=1	1	1372	158	1372	100	157.665	74.1	49.4
Staphylococcus_3;size=1	1	1372	116	1372	100	115.737	74.2	40.3
