rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Bacillus_10;size=1	1	4210	593	4210	100	590.23	74.5	5.37
Bacillus_1;size=1	1	4210	578	4210	100	575.506	74.5	5.04
Bacillus_2;size=1	1	4387	461	4387	100	458.961	73.6	13.2
Bacillus_3;size=1	1	4387	439	4387	100	436.99	74.6	13.1
Bacillus_4_5;size=1	1	4210	1462	4210	100	1458.28	75	5.25
Bacillus_6;size=1	1	4210	682	4210	100	680.243	74.7	7.21
Bacillus_7;size=1	1	4210	664	4210	100	661.558	75.4	4.99
Bacillus_8;size=1	1	4210	665	4210	100	663.134	72.9	21.8
Bacillus_9;size=1	1	4210	773	4210	100	769.901	74.8	20.6
Enterococcus_1;size=1	1	4364	308	4364	100	306.719	75.6	32.7
Enterococcus_2;size=1	1	4364	393	4364	100	391.89	74.8	33.2
Enterococcus_3;size=1	1	4262	555	4262	100	551.81	75.3	5.35
Enterococcus_4;size=1	1	4262	515	4262	100	513.399	74.6	5.63
Escherichia_1;size=1	1	4451	789	4451	100	787.291	76.9	59.4
Escherichia_2;size=1	1	4358	828	4358	100	826.173	77.2	6.33
Escherichia_3;size=1	1	4358	870	4358	100	867.813	75.8	6.16
Escherichia_4;size=1	1	4452	655	4452	100	652.457	75.8	59.3
Escherichia_5;size=1	1	4358	768	4358	100	766.054	76.1	5.93
Escherichia_6;size=1	1	4441	638	4441	100	636.66	76.4	59.8
Escherichia_7;size=1	1	4435	667	4435	100	665.508	76.2	60
Lactobacillus_1;size=1	1	4268	1539	4268	100	1533.57	74.6	56.6
Lactobacillus_2;size=1	1	4453	1132	4453	100	1129.26	75	59.7
Lactobacillus_3;size=1	1	4258	1776	4258	100	1771.3	75.5	53.9
Lactobacillus_4;size=1	1	4258	1765	4258	100	1760.62	75.6	56.1
Lactobacillus_5;size=1	1	4453	1189	4453	100	1180.06	74.6	59.2
Listeria_1;size=1	1	4291	1295	4291	100	1291.86	74.8	6.21
Listeria_2_5;size=1	1	4291	2474	4291	100	2467.89	75.1	5.69
Listeria_3;size=1	1	4542	756	4542	100	753.415	74.1	5.68
Listeria_4;size=1	1	4542	665	4542	100	663.494	75.9	5.21
Listeria_6;size=1	1	4291	1113	4291	100	1110.36	75.3	5.84
Pseudomonas_1_2_3_4;size=1	1	4456	3890	4456	100	3877.2	76.3	60
Salmonella_1;size=1	1	4360	435	4360	100	433.38	76.4	4.97
Salmonella_2_4;size=1	1	4360	992	4360	100	989.576	76.6	4.87
Salmonella_3;size=1	1	4519	325	4519	100	323.308	77.6	19.8
Salmonella_5;size=1	1	4519	379	4519	100	377.709	77.2	19.8
Salmonella_6;size=1	1	4360	491	4360	100	489.996	78.2	7.07
Salmonella_7;size=1	1	4619	261	4619	100	259.871	76.3	59.9
Staphylococcus_1;size=1	1	4466	2701	4466	100	2693.81	75.3	50.3
Staphylococcus_2;size=1	1	4512	2741	4512	100	2733.81	75.5	58.5
Staphylococcus_3;size=1	1	4516	2121	4516	100	2115.8	74.5	59.8
Staphylococcus_4;size=1	1	4391	3085	4391	100	3077.72	74.9	39.7
Staphylococcus_5;size=1	1	4424	3055	4424	100	3046.21	74.9	51.4
Staphylococcus_6;size=1	1	4483	2537	4483	100	2528.54	74.2	59.7
