rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Salmonella_5;size=5	1	1363	862	1363	100	858.134	43.9	58
Enterococcus_4;size=4	1	1381	1869	1381	100	1857.93	43.9	59.2
Staphylococcus_4;size=4	1	1372	2246	1372	100	2236.21	44.1	32.9
Bacillus_4_5;size=3	1	1370	856	1370	100	852.777	43.2	11.5
Bacillus_7;size=2	1	1370	531	1370	100	528.405	43.2	11.7
Escherichia_5;size=2	1	1363	253	1363	100	251.985	43.7	18.3
Listeria_2_5;size=2	1	1370	1309	1370	100	1303.86	43.3	14.5
Listeria_6;size=2	1	1370	945	1370	100	940.911	43.4	15.8
Bacillus_1;size=1	1	1370	241	1370	100	240.2	43.1	11.3
Bacillus_3;size=1	1	1370	258	1370	100	256.134	42.7	13.6
Bacillus_8;size=1	1	1370	547	1370	100	543.676	43	23
Bacillus_9;size=1	1	1370	459	1370	100	456.235	43.3	10.1
Escherichia_1;size=1	1	1363	178	1363	100	175.738	44	48
Escherichia_2;size=1	1	1363	115	1363	100	114.565	43.1	17.5
Escherichia_4;size=1	1	1363	158	1363	100	157.472	43.8	50.9
Escherichia_6;size=1	1	1363	119	1363	100	118.259	43.8	55.3
Escherichia_7;size=1	1	1363	161	1363	100	160.34	44.2	49.3
Lactobacillus_1;size=1	1	1406	402	1406	100	398.502	42	38.6
Lactobacillus_2;size=1	1	1396	356	1396	100	352.099	42.1	22.5
Lactobacillus_3;size=1	1	1396	648	1396	100	642.008	41.9	21.8
Lactobacillus_4;size=1	1	1396	544	1396	100	539.15	42.1	33.1
Lactobacillus_5;size=1	1	1396	550	1396	100	546.03	42.2	39.1
Listeria_1;size=1	1	1370	507	1370	100	502.962	43.2	15.6
Pseudomonas_1_2_3_4;size=1	1	1357	217	1357	100	214.957	43.5	60
Salmonella_7;size=1	1	1363	158	1363	100	156.012	43.7	53.5
Staphylococcus_2;size=1	1	1372	555	1372	100	553.276	44.1	41.2
Staphylococcus_3;size=1	1	1372	497	1372	100	493.095	44.1	27.6
