rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Bacillus_10;size=1	1	4210	69	4210	100	68.6824	43.2	4.97
Bacillus_1;size=1	1	4210	105	4210	100	104.32	42.4	3.12
Bacillus_2;size=1	1	4387	71	4387	100	70.5058	41.9	10.6
Bacillus_3;size=1	1	4387	50	4387	100	48.537	41.3	6.72
Bacillus_4_5;size=1	1	4210	151	4210	100	150.023	42.8	2.92
Bacillus_6;size=1	1	4210	71	4210	100	70.1038	43.3	4.75
Bacillus_7;size=1	1	4210	67	4210	100	65.6273	42.1	2.84
Bacillus_8;size=1	1	4210	96	4210	100	95.4359	42.5	13.1
Bacillus_9;size=1	1	4210	84	4210	100	82.7361	43.1	11
Enterococcus_1;size=1	1	4364	40	4364	100	39.0385	43.6	27.1
Enterococcus_2;size=1	1	4364	82	4364	100	81.052	42.9	26.9
Enterococcus_3;size=1	1	4262	107	4262	100	106.12	44.3	5.32
Enterococcus_4;size=1	1	4262	96	4262	100	95.1511	43.5	5.45
Escherichia_1;size=1	1	4451	56	4451	100	54.745	44	44.9
Escherichia_2;size=1	1	4358	62	4358	100	60.5647	43	5.02
Escherichia_3;size=1	1	4358	64	4358	100	63.6471	43.4	5.11
Escherichia_4;size=1	1	4452	52	4452	100	51.7271	43.7	41.7
Escherichia_5;size=1	1	4358	83	4358	100	81.5608	43.4	4.48
Escherichia_6;size=1	1	4441	56	4441	100	55.6444	44.1	49.9
Escherichia_7;size=1	1	4435	63	4435	100	61.7193	43.5	56.7
Lactobacillus_1;size=1	1	4268	136	4268	100	132.137	42.5	30.3
Lactobacillus_2;size=1	1	4453	110	4453	100	107.172	43.3	39.5
Lactobacillus_3;size=1	1	4258	191	4258	100	187.923	42.8	33.2
Lactobacillus_4;size=1	1	4258	122	4258	100	118.987	43	30.5
Lactobacillus_5;size=1	1	4453	111	4453	100	106.78	42.5	43.1
Listeria_1;size=1	1	4291	168	4291	100	166.029	42.6	3.36
Listeria_2_5;size=1	1	4291	166	4291	100	165.124	42.6	4.98
Listeria_3;size=1	1	4542	93	4542	100	88.8459	43.1	4.87
Listeria_4;size=1	1	4542	96	4542	100	93.8047	42.5	3.88
Listeria_6;size=1	1	4291	147	4291	100	145.846	43	3.45
Pseudomonas_1_2_3_4;size=1	1	4456	69	4456	100	66.8748	43.4	60
Salmonella_1;size=1	1	4360	129	4360	100	128.089	44	3.89
Salmonella_2_4;size=1	1	4360	104	4360	100	102.913	42.2	4.72
Salmonella_3;size=1	1	4519	62	4519	100	61.6455	44.1	15.1
Salmonella_5;size=1	1	4519	49	4519	100	48.4751	43.7	13.5
Salmonella_6;size=1	1	4360	57	4360	100	56.181	42.7	6.02
Salmonella_7;size=1	1	4619	47	4619	100	45.6973	43.7	56.3
Staphylococcus_1;size=1	1	4466	105	4466	100	103.152	44.3	38.6
Staphylococcus_2;size=1	1	4512	104	4512	100	101.816	43.4	44
Staphylococcus_3;size=1	1	4516	99	4516	100	96.7354	44.1	55.2
Staphylococcus_4;size=1	1	4391	97	4391	100	94.8841	43.5	31.1
Staphylococcus_5;size=1	1	4424	96	4424	100	94.9263	44.1	42.4
Staphylococcus_6;size=1	1	4483	90	4483	100	89.116	43.2	53.3
