rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Salmonella_5;size=5	1	1363	193	1363	100	191.775	75.9	59.6
Enterococcus_4;size=4	1	1381	137	1381	100	136.72	76.1	59.6
Staphylococcus_4;size=4	1	1372	904	1372	100	901.909	75.2	38.4
Bacillus_4_5;size=3	1	1370	204	1370	100	203.452	73.2	14.5
Bacillus_7;size=2	1	1370	114	1370	100	113.782	76.6	14.5
Escherichia_5;size=2	1	1363	136	1363	100	135.729	76.3	18.1
Listeria_2_5;size=2	1	1370	266	1370	100	265.377	75.5	16.4
Listeria_6;size=2	1	1370	124	1370	100	123.739	73.5	16.8
Bacillus_1;size=1	1	1370	53	1370	100	52.7971	72	13.4
Bacillus_3;size=1	1	1370	26	1370	100	25.9723	82	14.8
Bacillus_8;size=1	1	1370	52	1370	100	51.9314	81.7	30.2
Bacillus_9;size=1	1	1370	60	1370	100	59.7321	75.4	19.1
Escherichia_1;size=1	1	1363	63	1363	100	62.8709	77.2	59.1
Escherichia_2;size=1	1	1363	78	1363	100	77.8188	78.1	18
Escherichia_4;size=1	1	1363	55	1363	100	54.9296	80.7	59.9
Escherichia_6;size=1	1	1363	49	1363	100	48.9098	77	59.9
Escherichia_7;size=1	1	1363	55	1363	100	54.9083	80.6	58.9
Lactobacillus_1;size=1	1	1406	145	1406	100	144.656	75.4	53.7
Lactobacillus_2;size=1	1	1396	104	1396	100	103.74	78.1	33
Lactobacillus_3;size=1	1	1396	140	1396	100	139.506	72.7	28.7
Lactobacillus_4;size=1	1	1396	148	1396	100	147.722	75.2	37.1
Lactobacillus_5;size=1	1	1396	108	1396	100	107.402	72.4	43.4
Listeria_1;size=1	1	1370	96	1370	100	95.7759	73.7	18.2
Pseudomonas_1_2_3_4;size=1	1	1357	304	1357	100	303.251	75.4	60
Salmonella_7;size=1	1	1363	20	1363	100	19.964	72.7	60
Staphylococcus_2;size=1	1	1372	237	1372	100	236.466	74.1	49.6
Staphylococcus_3;size=1	1	1372	185	1372	100	184.606	74.9	40.6
