rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Bacillus_10;size=1	1	4210	218	4210	100	217.501	76.1	5.32
Bacillus_1;size=1	1	4210	227	4210	100	226.41	74	5.19
Bacillus_2;size=1	1	4387	178	4387	100	176.627	74	13.1
Bacillus_3;size=1	1	4387	162	4387	100	160.711	76.4	13
Bacillus_4_5;size=1	1	4210	545	4210	100	543.7	74.8	5.3
Bacillus_6;size=1	1	4210	255	4210	100	254.472	75.9	7.18
Bacillus_7;size=1	1	4210	234	4210	100	233.049	75.1	4.93
Bacillus_8;size=1	1	4210	244	4210	100	243.474	74.6	21.8
Bacillus_9;size=1	1	4210	284	4210	100	283.128	73.9	21
Enterococcus_1;size=1	1	4364	109	4364	100	108.53	75.2	32.7
Enterococcus_2;size=1	1	4364	143	4364	100	142.597	76.3	33.1
Enterococcus_3;size=1	1	4262	224	4262	100	223.462	74.8	5.37
Enterococcus_4;size=1	1	4262	189	4262	100	188.289	76.1	5.69
Escherichia_1;size=1	1	4451	280	4451	100	279.43	77.4	59.1
Escherichia_2;size=1	1	4358	353	4358	100	352.258	77.6	6.26
Escherichia_3;size=1	1	4358	339	4358	100	338.252	75.4	6.17
Escherichia_4;size=1	1	4452	226	4452	100	225.231	74	59.2
Escherichia_5;size=1	1	4358	302	4358	100	301.333	76.4	5.83
Escherichia_6;size=1	1	4441	249	4441	100	248.598	78.4	60
Escherichia_7;size=1	1	4435	258	4435	100	257.275	75.4	60
Lactobacillus_1;size=1	1	4268	584	4268	100	581.932	73.6	56.7
Lactobacillus_2;size=1	1	4453	435	4453	100	434.082	75.8	59.8
Lactobacillus_3;size=1	1	4258	628	4258	100	626.369	76.2	53.9
Lactobacillus_4;size=1	1	4258	643	4258	100	641.551	75.1	56.3
Lactobacillus_5;size=1	1	4453	441	4453	100	433.251	74.1	58.6
Listeria_1;size=1	1	4291	483	4291	100	481.894	74	6.31
Listeria_2_5;size=1	1	4291	889	4291	100	887.16	76	5.67
Listeria_3;size=1	1	4542	268	4542	100	267.068	74.1	5.48
Listeria_4;size=1	1	4542	249	4542	100	248.411	77.2	5.11
Listeria_6;size=1	1	4291	384	4291	100	382.994	75	5.65
Pseudomonas_1_2_3_4;size=1	1	4456	1462	4456	100	1454.83	76.9	60
Salmonella_1;size=1	1	4360	154	4360	100	153.494	75.6	4.9
Salmonella_2_4;size=1	1	4360	384	4360	100	382.854	75.1	4.75
Salmonella_3;size=1	1	4519	115	4519	100	113.799	76.1	20
Salmonella_5;size=1	1	4519	143	4519	100	142.218	78	19.8
Salmonella_6;size=1	1	4360	199	4360	100	198.602	77.5	7.14
Salmonella_7;size=1	1	4619	102	4619	100	101.248	77.9	60
Staphylococcus_1;size=1	1	4466	1006	4466	100	1003.8	75.9	50.4
Staphylococcus_2;size=1	1	4512	1058	4512	100	1055.64	75.7	58.7
Staphylococcus_3;size=1	1	4516	818	4516	100	816.149	74.5	59.8
Staphylococcus_4;size=1	1	4391	1163	4391	100	1160.43	74.4	39.8
Staphylococcus_5;size=1	1	4424	1103	4424	100	1100.11	73.6	51.6
Staphylococcus_6;size=1	1	4483	921	4483	100	917.387	75.3	59.7
