rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Salmonella_5;size=5	1	1363	73	1363	100	71.9912	75.6	59
Enterococcus_4;size=4	1	1381	55	1381	100	54.9348	79.7	60
Staphylococcus_4;size=4	1	1372	328	1372	100	327.295	75.6	38.4
Bacillus_4_5;size=3	1	1370	73	1370	100	72.7737	70.9	14.8
Bacillus_7;size=2	1	1370	55	1370	100	54.9109	75.1	14.7
Escherichia_5;size=2	1	1363	55	1363	100	54.8944	76.9	17.8
Listeria_2_5;size=2	1	1370	114	1370	100	113.734	74.4	16.7
Listeria_6;size=2	1	1370	51	1370	100	50.8686	70	17.4
Bacillus_1;size=1	1	1370	15	1370	100	14.9372	67.8	15
Bacillus_3;size=1	1	1370	12	1370	100	11.9869	84.1	14.9
Bacillus_8;size=1	1	1370	22	1370	100	21.962	83.2	30
Bacillus_9;size=1	1	1370	25	1370	100	24.7949	74.2	18.3
Escherichia_1;size=1	1	1363	29	1363	100	28.931	75.9	60
Escherichia_2;size=1	1	1363	33	1363	100	32.9149	75.5	17.7
Escherichia_4;size=1	1	1363	15	1363	100	14.9831	86.5	60
Escherichia_6;size=1	1	1363	11	1363	100	10.9765	79.6	59.7
Escherichia_7;size=1	1	1363	17	1363	100	16.9817	85.1	60
Lactobacillus_1;size=1	1	1406	64	1406	100	63.8208	76.3	53.2
Lactobacillus_2;size=1	1	1396	40	1396	100	39.9491	78.3	33.4
Lactobacillus_3;size=1	1	1396	45	1396	100	44.884	71.9	29.3
Lactobacillus_4;size=1	1	1396	59	1396	100	58.889	78.1	37
Lactobacillus_5;size=1	1	1396	31	1396	100	30.8918	75.4	42.8
Listeria_1;size=1	1	1370	38	1370	100	37.9131	74.4	18.7
Pseudomonas_1_2_3_4;size=1	1	1357	133	1357	100	132.656	78.2	60
Salmonella_7;size=1	1	1363	10	1363	100	9.9912	82.7	60
Staphylococcus_2;size=1	1	1372	103	1372	100	102.781	74.4	49.4
Staphylococcus_3;size=1	1	1372	76	1372	100	75.8061	74.1	40.6
